PREFLOP,0,2,2.5,3,5,ALLIN,,
PREFLOP,1,mini,2.5X,3.5X,5X,ALLIN,,
PREFLOP,2,mini,2.5X,3.5X,5X,ALLIN,,
PREFLOP,3,mini,2.5X,4X,ALLIN,,,
FLOP,0,,1/3POT,1/2POT,3/4POT,POT,1.5POT,ALLIN
FLOP,1,mini,2.5X,4X,ALLIN,,,
FLOP,2,mini,2.5X,4X,ALLIN,,,
FLOP,3,mini,2.5X,4X,ALLIN,,,
TURN,0,,1/3POT,1/2POT,3/4POT,POT,1.5POT,ALLIN
TURN,1,mini,2.5X,4X,ALLIN,,,
TURN,2,mini,2.5X,4X,ALLIN,,,
TURN,3,mini,2.5X,4X,ALLIN,,,
RIVER,0,,1/3POT,1/2POT,3/4POT,POT,ALLIN,
RIVER,1,mini,2.5X,4X,ALLIN,,,
RIVER,2,mini,2.5X,4X,ALLIN,,,
RIVER,3,mini,2.5X,4X,ALLIN,,,
